Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Scheme,FeatureSet,FeatureCount,ThresholdMode,Margin
XGB_exp100,test_selective,0.5,0.5043103448275862,0.5049164482611201,0.5127118644067796,0.5041629497472495,0.49387755102040815,0.5330396475770925,0.5159817351598174,0.4767932489451477,0.5018866521682559,0.00984608250997879,0.914611689928014,0.328296394367201,121,124,113,106,0.5280172413793104,0.4892241379310345,0.5523809523809524,464,weight_decay,XGB,exp_hl100,all,27,selective_fixed_0.5,0.15
XGB_exp100,test_selective,0.5,0.49709302325581395,0.5004742547425474,0.5207756232686981,0.495861817750557,0.47715736040609136,0.573170731707317,0.5238095238095238,0.42777777777777776,0.5024390243902439,0.0009576527812832235,0.975644848198638,0.34807989793627436,94,103,77,70,0.5726744186046512,0.47674418604651164,0.4095238095238095,344,weight_decay,XGB,exp_hl100,all,27,selective_fixed_0.5,0.2
XGB_linear03,val,0.5149999999999999,0.5923076923076923,0.5909090909090908,0.6293706293706294,0.5881895881895882,0.5844155844155844,0.6818181818181818,0.6037735849056604,0.5,0.5928622159090909,0.184976248756057,0.7125596654809531,0.2546258182469937,90,64,64,42,0.5923076923076923,0.5076923076923077,1.0,260,weight_decay,XGB,linear_03,all,27,val_f1_macro,
XGB_linear03,test,0.5149999999999999,0.5285714285714286,0.5272341776457516,0.34219269102990035,0.4874228761271951,0.5597826086956522,0.24641148325358853,0.5198170731707317,0.8080568720379147,0.5595591736774077,0.06584575728920447,0.7810552959000407,0.28302190749521383,103,81,341,315,0.21904761904761905,0.4976190476190476,1.0,840,weight_decay,XGB,linear_03,all,27,val_f1_macro,
XGB_linear03_th05,test,0.5,0.5261904761904762,0.5249438762783737,0.3559870550161812,0.4906112299563015,0.55,0.2631578947368421,0.51875,0.7867298578199052,0.5595591736774077,0.058564349123646706,0.7810552959000407,0.28302190749521383,110,90,332,308,0.23809523809523808,0.4976190476190476,1.0,840,weight_decay,XGB,linear_03,all,27,fixed_0.5,
XGB_linear03,test_selective,0.5,0.5252525252525253,0.5245544112489239,0.34265734265734266,0.485557920340529,0.5536723163841808,0.2481012658227848,0.5170731707317073,0.801007556675063,0.5648503013104613,0.058942578576933045,0.7866623150052845,0.2851628034286283,98,79,318,297,0.22348484848484848,0.49873737373737376,0.9428571428571428,792,weight_decay,XGB,linear_03,all,27,selective_fixed_0.5,0.02
XGB_linear03,test_selective,0.5,0.5266666666666666,0.5235262323179881,0.3238095238095238,0.4798534798534798,0.551948051948052,0.22911051212938005,0.5201342281879194,0.8179419525065963,0.5646864709940331,0.05823786514784292,0.79176296746889,0.2870640156273954,85,69,310,286,0.20533333333333334,0.49466666666666664,0.8928571428571429,750,weight_decay,XGB,linear_03,all,27,selective_fixed_0.5,0.04
XGB_linear03,test_selective,0.5,0.5286343612334802,0.5224896029267114,0.2945054945054945,0.4702957461502114,0.5537190082644629,0.20059880239520958,0.5232142857142857,0.8443804034582133,0.5680339608966505,0.05882515165175544,0.8013237937990123,0.2906053319939827,67,54,293,267,0.1776798825256975,0.49045521292217326,0.8107142857142857,681,weight_decay,XGB,linear_03,all,27,selective_fixed_0.5,0.06
XGB_linear03,test_selective,0.5,0.5287539936102237,0.5242871581268568,0.2679900744416873,0.4602612327449897,0.574468085106383,0.17475728155339806,0.5206766917293233,0.8738170347003155,0.5804926852674241,0.06798229534155634,0.8107813958067469,0.29415019129637593,54,40,277,255,0.1501597444089457,0.4936102236421725,0.7452380952380953,626,weight_decay,XGB,linear_03,all,27,selective_fixed_0.5,0.08
XGB_linear03,test_selective,0.5,0.5362068965517242,0.5312425669568527,0.2670299727520436,0.46390590693087674,0.6049382716049383,0.17132867132867133,0.5250501002004008,0.891156462585034,0.5885305171019457,0.09012403019994795,0.8168470671843433,0.29604234425698467,49,32,262,237,0.1396551724137931,0.49310344827586206,0.6904761904761905,580,weight_decay,XGB,linear_03,all,27,selective_fixed_0.5,0.1
XGB_linear03,test_selective,0.5,0.5427509293680297,0.5300359712230216,0.24074074074074073,0.4568065405831363,0.609375,0.15,0.5337552742616034,0.9100719424460432,0.5827338129496403,0.0927260135977462,0.8225920697037243,0.2977261659076973,39,25,253,221,0.11895910780669144,0.483271375464684,0.6404761904761904,538,weight_decay,XGB,linear_03,all,27,selective_fixed_0.5,0.12
