Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Scheme,FeatureSet,FeatureCount,ThresholdMode,Margin,SourceGroup,ModelConfig,TestEvidence,CommonMetricSet,ComparableUse,Device,Lookback,Epochs,FinalRefit
BASE_RandomForest_th05,test,0.5,0.5142857142857142,0.5131635637996326,0.3625,0.4850961538461538,0.5225225225225225,0.277511961722488,0.511326860841424,0.7488151658767772,0.534898750538561,0.0298522534321794,0.6951615596291572,0.2509377023649994,116,106,316,302,0.2642857142857143,0.4976190476190476,1.0,840,baseline,RandomForest,uniform,all,27.0,fixed_0.5,,ml,BASE_RandomForest,current_unified_test_run,full_common_metrics,primary,,,,
BASE_LGBM_th05,test,0.5,0.5297619047619048,0.5283509830154879,0.3293718166383701,0.4836593272009449,0.5672514619883041,0.2320574162679425,0.5201793721973094,0.8246445497630331,0.5448989773010726,0.0704095177518816,0.7422866671463951,0.2704397767775494,97,74,348,321,0.2035714285714285,0.4976190476190476,1.0,840,baseline,LGBM_small,uniform,all,27.0,fixed_0.5,,ml,BASE_LGBM,current_unified_test_run,full_common_metrics,primary,,,,
DL_MLP_L20_th05,test,0.5,0.4964285714285714,0.497193813918683,0.5652620760534429,0.4834796943209223,0.4954954954954955,0.6578947368421053,0.4982456140350877,0.3364928909952606,0.487443025918955,-0.0059268223053783,0.7457636172426194,0.2731311206223758,275,280,142,143,0.6607142857142857,0.4976190476190476,1.0,840,deep_learning,MLP,,,,fixed_0.5,,dl,DL_MLP_L20,current_unified_test_run,full_common_metrics,primary,cuda,20.0,8.0,train_full
LGBM_linear03_th05,test,0.5,0.5190476190476191,0.5177895190367128,0.3441558441558441,0.4822282980177717,0.5353535353535354,0.2535885167464115,0.514018691588785,0.7819905213270142,0.5489126737567745,0.0419120071357914,0.7912621867000537,0.2858227312233202,106,92,330,312,0.2357142857142857,0.4976190476190476,1.0,840,weight_decay,LGBM,linear_03,all,27.0,fixed_0.5,,ml,LGBM_linear03,current_unified_test_run,full_common_metrics,primary,,,,
LGBM_step50_3_th05,test,0.5,0.5190476190476191,0.5177781809111318,0.3420195439739413,0.4815163385910982,0.5357142857142857,0.2511961722488038,0.5139751552795031,0.7843601895734598,0.5580058504727998,0.0420330315671041,0.8060497827441313,0.2905123968430052,105,91,331,313,0.2333333333333333,0.4976190476190476,1.0,840,weight_decay,LGBM,step_50pct_3x,all,27.0,fixed_0.5,,ml,LGBM_step50_3,current_unified_test_run,full_common_metrics,primary,,,,
LGBM_linear01_th05,test,0.5,0.5190476190476191,0.5177781809111318,0.3420195439739413,0.4815163385910982,0.5357142857142857,0.2511961722488038,0.5139751552795031,0.7843601895734598,0.5400405904895803,0.0420330315671041,0.8158423233716703,0.2942542414980937,105,91,331,313,0.2333333333333333,0.4976190476190476,1.0,840,weight_decay,LGBM,linear_01,all,27.0,fixed_0.5,,ml,LGBM_linear01,current_unified_test_run,full_common_metrics,primary,,,,
ENS_TOP3_VAL_th05,test,0.5,0.5214285714285715,0.5201138347808341,0.3366336633663366,0.4811659936943415,0.5425531914893617,0.2440191387559808,0.5153374233128835,0.7962085308056872,0.5416562733848841,0.048257688744764,0.7685171580348711,0.2797613901436917,102,86,336,316,0.2238095238095238,0.4976190476190476,1.0,840,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM",from_members,,fixed_0.5,,ml,ENS_TOP3_VAL,current_unified_test_run,full_common_metrics,primary,,,,
ENS_TOP5_VAL_th05,test,0.5,0.5178571428571429,0.5165366561600037,0.3305785123966942,0.4769171631750913,0.5347593582887701,0.2392344497607655,0.5130168453292496,0.7938388625592417,0.5395473820268033,0.0397506893490292,0.7308019628949591,0.2664330395817353,100,87,335,318,0.2226190476190476,0.4976190476190476,1.0,840,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM,FS_LGBM_small,BASE_SVM_RBF",from_members,,fixed_0.5,,ml,ENS_TOP5_VAL,current_unified_test_run,full_common_metrics,primary,,,,
FS_GBM_th05,test,0.5,0.5023809523809524,0.5012358556883376,0.3427672955974842,0.4711920769175161,0.5,0.2607655502392344,0.5032154340836013,0.7417061611374408,0.5301140615433456,0.002819153242622,0.8484168538468703,0.300501655997877,109,109,313,309,0.2595238095238095,0.4976190476190476,1.0,840,feature_selection,GBM,uniform,SPEARMAN_TOP_25,25.0,fixed_0.5,,ml,FS_GBM,current_unified_test_run,full_common_metrics,primary,,,,
FS_LGBM_th05,test,0.5,0.5107142857142857,0.5093369464160185,0.3092436974789916,0.4652209270805096,0.519774011299435,0.2200956937799043,0.5082956259426847,0.7985781990521327,0.5311288237828522,0.0228947460718283,0.7913823149479592,0.2874112300763508,92,85,337,326,0.2107142857142857,0.4976190476190476,1.0,840,feature_selection,LGBM,uniform,SPEARMAN_TOP_25,25.0,fixed_0.5,,ml,FS_LGBM,current_unified_test_run,full_common_metrics,primary,,,,
