Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Scheme,FeatureSet,FeatureCount,ThresholdMode,Margin,ModelConfig
ENS_FINAL3,test_selective,0.5,0.5447470817120622,0.5427850316327905,0.4673748103186646,0.5349331582737151,0.5519713261648745,0.4052631578947368,0.540650406504065,0.680306905370844,0.5306636155606408,0.0890261058580508,0.7469722767913775,0.2715919597902091,154,125,266,226,0.3618677042801556,0.4928664072632944,0.9178571428571428,771,ensemble,average_proba_ensemble,"LGBM_exp100,GBM_exp100,XGB_linear03",from_members,,selective_fixed_0.5,0.02,ENS_FINAL3
ENS_TOP5_VAL,test_selective,0.5,0.5444126074498568,0.5213641451050102,0.0914285714285714,0.3937066375307293,0.8888888888888888,0.0481927710843373,0.5352941176470588,0.994535519125683,0.5555665284087169,0.1346276888512425,0.7644875829826131,0.2802072021978771,8,1,182,158,0.0257879656160458,0.4756446991404011,0.4154761904761905,349,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM,FS_LGBM_small,BASE_SVM_RBF",from_members,,selective_fixed_0.5,0.15,ENS_TOP5_VAL
ENS_FINAL3,test_selective,0.5,0.5434027777777778,0.5372239595281504,0.4416135881104034,0.527708409326861,0.5360824742268041,0.3754512635379061,0.5471204188481675,0.6989966555183946,0.5149415017567585,0.0787037626095191,0.7663169047909837,0.2794656096821246,104,90,209,173,0.3368055555555556,0.4809027777777778,0.6857142857142857,576,ensemble,average_proba_ensemble,"LGBM_exp100,GBM_exp100,XGB_linear03",from_members,,selective_fixed_0.5,0.08,ENS_FINAL3
XGB_linear03,test_selective,0.5,0.5427509293680297,0.5300359712230216,0.2407407407407407,0.4568065405831363,0.609375,0.15,0.5337552742616034,0.9100719424460432,0.5827338129496403,0.0927260135977462,0.8225920697037243,0.2977261659076973,39,25,253,221,0.1189591078066914,0.483271375464684,0.6404761904761904,538,weight_decay,XGB,linear_03,all,27.0,selective_fixed_0.5,0.12,XGB_linear03
ENS_FINAL3,test_selective,0.5,0.542203147353362,0.5419893573475235,0.4612794612794613,0.5316347555153526,0.5591836734693878,0.3925501432664756,0.5330396475770925,0.6914285714285714,0.5318297175603766,0.0880045224201125,0.7533220340878917,0.2742181354266647,137,108,242,212,0.3505007153075822,0.4992846924177396,0.8321428571428572,699,ensemble,average_proba_ensemble,"LGBM_exp100,GBM_exp100,XGB_linear03",from_members,,selective_fixed_0.5,0.04,ENS_FINAL3
ENS_TOP3_VAL,test_selective,0.5,0.5420289855072464,0.5185790324754076,0.0813953488372093,0.3881880219089522,0.875,0.0426829268292682,0.5341246290801187,0.994475138121547,0.5579773615415713,0.1232975244696228,0.8472306604078575,0.3084924643355776,7,1,180,157,0.0231884057971014,0.4753623188405797,0.4107142857142857,345,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM",from_members,,selective_fixed_0.5,0.2,ENS_TOP3_VAL
ENS_FINAL3,test_selective,0.5,0.5416012558869702,0.5408960962145111,0.4592592592592592,0.5307195478857605,0.5560538116591929,0.3911671924290221,0.533816425120773,0.690625,0.528401025236593,0.0857361283260956,0.7597109304068552,0.2768406586857687,124,99,221,193,0.3500784929356358,0.4976452119309262,0.7583333333333333,637,ensemble,average_proba_ensemble,"LGBM_exp100,GBM_exp100,XGB_linear03",from_members,,selective_fixed_0.5,0.06,ENS_FINAL3
LGBM_small_step50_3,test_selective,0.5,0.5406976744186046,0.5133631800298467,0.0813953488372093,0.3875968992248062,0.7,0.0432098765432098,0.5359281437125748,0.9835164835164836,0.5662053995387328,0.0794071817726669,0.7690041008172042,0.2820836954394106,7,3,179,155,0.0290697674418604,0.4709302325581395,0.4095238095238095,344,weight_decay,LGBM_small,step_50pct_3x,all,27.0,selective_fixed_0.5,0.15,LGBM_small_step50_3
LGBM_step50_3,test_selective,0.5,0.5405405405405406,0.5112859712230216,0.184931506849315,0.4325195168655177,0.5192307692307693,0.1125,0.5429184549356223,0.9100719424460432,0.5513489208633093,0.0374543550331603,0.8654241880409318,0.3104264082909533,27,25,253,213,0.1003861003861003,0.4633204633204633,0.6166666666666667,518,weight_decay,LGBM,step_50pct_3x,all,27.0,selective_fixed_0.5,0.15,LGBM_step50_3
ENS_FINAL3,test_selective,0.5,0.5403846153846154,0.5325545540796963,0.4295942720763723,0.5223655740414067,0.5263157894736842,0.3629032258064516,0.5472779369627507,0.7022058823529411,0.5075604838709677,0.0692215421267296,0.7751018876309611,0.2830929427135907,90,81,191,158,0.3288461538461538,0.4769230769230769,0.6190476190476191,520,ensemble,average_proba_ensemble,"LGBM_exp100,GBM_exp100,XGB_linear03",from_members,,selective_fixed_0.5,0.1,ENS_FINAL3
XGB_linear03,test_selective,0.5,0.5399159663865546,0.5229202037351443,0.1978021978021978,0.4376345304180355,0.6,0.1184210526315789,0.5336426914153132,0.9274193548387096,0.5903013582342954,0.0782702716866627,0.8392067070031067,0.3038541894033961,27,18,230,201,0.0945378151260504,0.4789915966386555,0.5666666666666667,476,weight_decay,XGB,linear_03,all,27.0,selective_fixed_0.5,0.15,XGB_linear03
