Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Scheme,FeatureSet,FeatureCount,ThresholdMode,Margin
ENS_TOP5_VAL,val,0.5499999999999999,0.6038461538461538,0.6055871212121212,0.5579399141630901,0.5995274483707436,0.6435643564356436,0.49242424242424243,0.5786163522012578,0.71875,0.6075994318181819,0.21660757795534066,0.6808547582217387,0.24359913294043398,65,36,92,67,0.38846153846153847,0.5076923076923077,1.0,260,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM,FS_LGBM_small,BASE_SVM_RBF",from_members,,val_f1_macro,
ENS_TOP5_VAL,test,0.5499999999999999,0.5238095238095238,0.5219506111249689,0.21568627450980393,0.436902966314731,0.5978260869565217,0.13157894736842105,0.5147058823529411,0.9123222748815166,0.5395473820268033,0.07028720363535522,0.7308019628949591,0.26643303958173536,55,37,385,363,0.10952380952380952,0.4976190476190476,1.0,840,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM,FS_LGBM_small,BASE_SVM_RBF",from_members,,val_f1_macro,
ENS_TOP5_VAL_th05,test,0.5,0.5178571428571429,0.5165366561600037,0.3305785123966942,0.4769171631750913,0.5347593582887701,0.23923444976076555,0.5130168453292496,0.7938388625592417,0.5395473820268033,0.03975068934902922,0.7308019628949591,0.26643303958173536,100,87,335,318,0.2226190476190476,0.4976190476190476,1.0,840,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM,FS_LGBM_small,BASE_SVM_RBF",from_members,,fixed_0.5,
ENS_TOP5_VAL,test_selective,0.5,0.5229357798165137,0.5209570140721196,0.3132075471698113,0.47387284989012657,0.5496688741721855,0.21899736147757257,0.5163398692810458,0.8229166666666666,0.5423743953386104,0.0525993567533349,0.7346169749347465,0.2680989105499066,83,68,316,296,0.19790301441677588,0.4967234600262123,0.9083333333333333,763,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM,FS_LGBM_small,BASE_SVM_RBF",from_members,,selective_fixed_0.5,0.02
ENS_TOP5_VAL,test_selective,0.5,0.5297619047619048,0.5266948364293497,0.2785388127853881,0.46487647041035407,0.580952380952381,0.1831831831831832,0.5202821869488536,0.8702064896755162,0.5457138554483687,0.07351789212320158,0.7396401065162257,0.2702539131852376,61,44,295,272,0.15625,0.4955357142857143,0.8,672,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM,FS_LGBM_small,BASE_SVM_RBF",from_members,,selective_fixed_0.5,0.04
ENS_TOP5_VAL,test_selective,0.5,0.5297029702970297,0.5297029702970297,0.25196850393700787,0.4545041075641718,0.6153846153846154,0.15841584158415842,0.5170454545454546,0.900990099009901,0.5573527649794683,0.08869685939836239,0.7446409255110105,0.27242962380254815,48,30,273,255,0.12871287128712872,0.5,0.7214285714285714,606,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM,FS_LGBM_small,BASE_SVM_RBF",from_members,,selective_fixed_0.5,0.06
ENS_TOP5_VAL,test_selective,0.5,0.5209471766848816,0.5158286654808995,0.19076923076923077,0.4252681858891432,0.5740740740740741,0.11439114391143912,0.5151515151515151,0.9172661870503597,0.5543948604953677,0.05314738007066755,0.7520925907000148,0.27580694996758964,31,23,255,240,0.09836065573770492,0.4936247723132969,0.6535714285714286,549,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM,FS_LGBM_small,BASE_SVM_RBF",from_members,,selective_fixed_0.5,0.08
ENS_TOP5_VAL,test_selective,0.5,0.525879917184265,0.5126145608073319,0.14869888475836432,0.4100739760951076,0.5714285714285714,0.08547008547008547,0.5223214285714286,0.9397590361445783,0.5478666803968009,0.048633631895785144,0.7572904001273705,0.2779250836721589,20,15,234,214,0.07246376811594203,0.484472049689441,0.575,483,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM,FS_LGBM_small,BASE_SVM_RBF",from_members,,selective_fixed_0.5,0.1
ENS_TOP5_VAL,test_selective,0.5,0.5306603773584906,0.5071838118822926,0.09954751131221719,0.3910815706481341,0.55,0.05472636815920398,0.5297029702970297,0.9596412556053812,0.5384289315753072,0.033839951095526545,0.7620811479084428,0.2797944629468381,11,9,214,190,0.04716981132075472,0.4740566037735849,0.5047619047619047,424,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM,FS_LGBM_small,BASE_SVM_RBF",from_members,,selective_fixed_0.5,0.12
ENS_TOP5_VAL,test_selective,0.5,0.5444126074498568,0.5213641451050102,0.09142857142857143,0.3937066375307293,0.8888888888888888,0.04819277108433735,0.5352941176470588,0.994535519125683,0.5555665284087169,0.1346276888512425,0.7644875829826131,0.28020720219787715,8,1,182,158,0.025787965616045846,0.47564469914040114,0.4154761904761905,349,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM,FS_LGBM_small,BASE_SVM_RBF",from_members,,selective_fixed_0.5,0.15
ENS_TOP5_VAL,test_selective,0.5,0.5575221238938053,0.5098039215686274,0.038461538461538464,0.375552608311229,1.0,0.0196078431372549,0.5535714285714286,1.0,0.51747311827957,0.10418417219853829,0.7768578719622701,0.2843160210879731,2,0,124,100,0.008849557522123894,0.45132743362831856,0.26904761904761904,226,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM,FS_LGBM_small,BASE_SVM_RBF",from_members,,selective_fixed_0.5,0.2
