Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Scheme,FeatureSet,FeatureCount,ThresholdMode,Margin
LGBM_small_step50_3_th05,test,0.5,0.5238095238095238,0.5225288555296038,0.3464052287581699,0.4859366967760887,0.5463917525773195,0.2535885167464115,0.5170278637770898,0.7914691943127962,0.5396664323454047,0.053455988899119435,0.732822104156879,0.26731653806661243,106,88,334,312,0.23095238095238096,0.4976190476190476,1.0,840,weight_decay,LGBM_small,step_50pct_3x,all,27,fixed_0.5,
GBM_exp100,test,0.6399999999999999,0.5142857142857142,0.5131295494228894,0.35646687697160884,0.4832047577974679,0.5231481481481481,0.2703349282296651,0.5112179487179487,0.7559241706161137,0.5102780108392481,0.030040351771416514,0.8214580095438496,0.29467275491915335,113,103,319,305,0.2571428571428571,0.4976190476190476,1.0,840,weight_decay,GBM,exp_hl100,all,27,val_f1_macro,
LGBM_linear03_th05,test,0.5,0.5190476190476191,0.5177895190367128,0.34415584415584416,0.4822282980177717,0.5353535353535354,0.2535885167464115,0.514018691588785,0.7819905213270142,0.5489126737567745,0.04191200713579143,0.7912621867000537,0.28582273122332025,106,92,330,312,0.2357142857142857,0.4976190476190476,1.0,840,weight_decay,LGBM,linear_03,all,27,fixed_0.5,
LGBM_step50_3_th05,test,0.5,0.5190476190476191,0.5177781809111318,0.34201954397394135,0.4815163385910982,0.5357142857142857,0.2511961722488038,0.5139751552795031,0.7843601895734598,0.5580058504727998,0.042033031567104105,0.8060497827441313,0.2905123968430052,105,91,331,313,0.23333333333333334,0.4976190476190476,1.0,840,weight_decay,LGBM,step_50pct_3x,all,27,fixed_0.5,
LGBM_linear01_th05,test,0.5,0.5190476190476191,0.5177781809111318,0.34201954397394135,0.4815163385910982,0.5357142857142857,0.2511961722488038,0.5139751552795031,0.7843601895734598,0.5400405904895803,0.042033031567104105,0.8158423233716703,0.2942542414980937,105,91,331,313,0.23333333333333334,0.4976190476190476,1.0,840,weight_decay,LGBM,linear_01,all,27,fixed_0.5,
XGB_exp100,test,0.6724999999999999,0.5,0.49888886369305424,0.34579439252336447,0.47058505753335855,0.4955357142857143,0.26555023923444976,0.5016233766233766,0.7322274881516587,0.49917798589537177,-0.002512623026098939,0.823966447922927,0.29738561395004587,111,113,309,307,0.26666666666666666,0.4976190476190476,1.0,840,weight_decay,XGB,exp_hl100,all,27,val_f1_macro,
LGBM_linear01,test,0.5399999999999999,0.513095238095238,0.5116499240345586,0.29845626072041165,0.4628106280812633,0.5272727272727272,0.20813397129186603,0.5096296296296297,0.8151658767772512,0.5400405904895803,0.029322675683116896,0.8158423233716703,0.2942542414980937,87,78,344,331,0.19642857142857142,0.4976190476190476,1.0,840,weight_decay,LGBM,linear_01,all,27,val_f1_macro,
GBM_exp250,test,0.5525,0.5071428571428571,0.5057824440463502,0.3076923076923077,0.4625337693729561,0.5111111111111111,0.22009569377990432,0.5060606060606061,0.7914691943127962,0.5314349531735414,0.014092160496191239,0.7764990491146699,0.2828234095029864,92,88,334,326,0.21428571428571427,0.4976190476190476,1.0,840,weight_decay,GBM,exp_hl250,all,27,val_f1_macro,
LGBM_linear03,test,0.5225,0.5083333333333333,0.5069105875416676,0.29642248722316866,0.45928169191899515,0.514792899408284,0.20813397129186603,0.5067064083457526,0.8056872037914692,0.5489126737567745,0.017237914509564287,0.7912621867000537,0.28582273122332025,87,82,340,331,0.2011904761904762,0.4976190476190476,1.0,840,weight_decay,LGBM,linear_03,all,27,val_f1_macro,
LGBM_small_step50_3,test,0.59,0.5059523809523809,0.5039173223882628,0.1336116910229645,0.39403315608600353,0.5245901639344263,0.07655502392344497,0.5044929396662388,0.9312796208530806,0.5396664323454047,0.015094892702834997,0.732822104156879,0.26731653806661243,32,29,393,386,0.07261904761904762,0.4976190476190476,1.0,840,weight_decay,LGBM_small,step_50pct_3x,all,27,val_f1_macro,
