feature,abs_rpb,MI,ks_stat,abs_rpb_n,MI_n,ks_stat_n,score
gdelt_volume,0.019106740163888337,0.0,0.05382691059260484,0.21536909235073753,0.0,0.5620329569669563,0.2591340164392313
fed_funds_rate_lag,0.01058264302873958,0.0,0.060700140456571586,0.11928639863324951,0.0,0.6337996933787159,0.2510286973373218
real_rate,0.029481809832963127,0.0,0.039009250187229255,0.3323157467008837,0.0,0.4073145567972539,0.2465434344993792
oil_return_lag1,0.024260586933139587,0.0,0.039795105166973405,0.27346269132615453,0.0,0.4155200509107038,0.2296609140789528
recession_signal,0.014887600267873842,0.007665528325194515,0.00725830803852998,0.16781140736045258,0.397474898343122,0.07578752494913751,0.2136912768842374
production_change_pct,0.011409247541576514,0.0,0.04832130849009647,0.12860379459591512,0.0,0.5045462872790736,0.2110500272916629
sp500_return,0.003082844464008097,0.003973342769941102,0.033537815692535854,0.03474948674535186,0.20602676639703668,0.3501846477229995,0.19698696695512932
usd_return,0.0026234765747986987,0.0,0.05034181459547861,0.029571541972695847,0.0,0.5256433743768743,0.18507163878319002
wti_fred,0.011343221432725849,0.0,0.036225975323599564,0.12785955549428676,0.0,0.37825303005467115,0.16870419518298596
oil_close,0.003362086254470051,8.057836227326476e-05,0.04163646219354195,0.03789706976800951,0.004178169461321305,0.43474655533164275,0.1589405981869912
crude_inventory_weekly,0.0019888903310912053,0.0,0.037448621614059326,0.022418555008239555,0.0,0.3910192747153147,0.1378126099078514
oil_volatility_7d,0.0032340296673889065,0.0,0.026403249801227633,0.0364536298775501,0.0,0.2756891747259211,0.1040476015344904
vix_lag1,0.00342985671660131,0.0,0.022623573617804833,0.038660971029669255,0.0,0.23622373711563865,0.09162823604843597
fed_rate_change,0.01235451265597039,0.0013260608931355833,0.00493121691167304,0.13925871992444355,0.06875924219906666,0.05148923450742931,0.08650239887697984
gdelt_data_imputed,0.021339283340646182,0.0,0.0009354536950420954,0.2405340756753613,0.0,0.009767527070416832,0.08343386758192604
fed_rate_regime,0.008219133794227512,0.0,0.015030977092004133,0.09264518018189331,0.0,0.15694574346019227,0.08319697454736186
media_attention_spike,0.010475883843428365,0.0,0.0051611556777791424,0.11808302073396576,0.0,0.053890137015359996,0.05732438591644192
