feature,MI,abs_sp,MI_n,abs_sp_n,score
yield_spread,0.011263255008628015,0.00424328787685466,0.24343037952546417,0.015979254774195335,0.12970481714982976
gdelt_goldstein,0.0025415476214369903,0.05289088983593258,0.05492993824560582,0.19917503324067146,0.12705248574313863
stress_goldstein,0.0023967495111612003,0.05289088983593258,0.05180044691188353,0.19917503324067146,0.1254877400762775
gdelt_tone_7d,0.001688658146263844,0.05290352756502315,0.03649661604206608,0.19922262404732097,0.11785962004469352
macd_hist,0.009109995691932937,0.008304730170055247,0.19689243536293796,0.03127372053687431,0.11408307794990613
wti_fred,0.0,0.05537137052639432,0.0,0.20851595802957373,0.10425797901478687
momentum_20,0.008222390767012921,0.005058699197029235,0.17770881539016506,0.019049907911330762,0.09837936165074791
conflict_event_count,0.00848639888913505,0.00313557250346464,0.1834147678272504,0.011807851211113838,0.09761130951918212
usd_close,0.0,0.05181139679670533,0.0,0.1951099085540172,0.0975549542770086
inventory_change_pct,0.0,0.05163781285364311,0.0,0.1944562309975096,0.0972281154987548
day_of_week,0.0020780713373493853,0.03851113417616536,0.044912922058893315,0.1450241516727632,0.09496853686582826
stress_tone,0.0,0.04913487185591005,0.0,0.18503072581184643,0.09251536290592322
gdelt_tone,0.0,0.04913487185591005,0.0,0.18503072581184643,0.09251536290592322
ma_20,0.006947931875009861,0.008881666315407571,0.15016420137474482,0.03344633053237161,0.09180526595355822
production_change_pct,0.002038695782340394,0.03166796636399158,0.044061906407332374,0.11925434177375803,0.08165812409054521
unemployment_lag,0.0,0.04201451264489214,0.0,0.1582170762979271,0.07910853814896356
real_rate,0.0020789741959061914,0.028135252134811946,0.044932435352428156,0.10595094536259346,0.0754416903575108
oil_return_lag2,0.0,0.04005271190240819,0.0,0.15082938194625534,0.07541469097312767
gdelt_events,0.0,0.03784331079744329,0.0,0.14250928107655134,0.07125464053827567
ma_5_10_cross,0.0023298515124796637,0.02397723993775838,0.05035459442997971,0.0902928193576756,0.07032370689382765
fatalities,0.0,0.037290270496549906,0.0,0.14042665738359475,0.07021332869179737
ret_std_20,0.0015492709712661146,0.027755711929265722,0.03348407012308553,0.10452168347476484,0.0690028767989252
gdelt_volume_lag1,0.0,0.03652916952137536,0.0,0.1375605246242455,0.06878026231212275
ret_std_5,0.0,0.03439921723697536,0.0,0.12953960990032265,0.06476980495016132
oil_return_lag3,0.0049107771310921144,0.006087546398137819,0.1061356011091806,0.02292431191769249,0.06452995651343654
vix_close,0.0,0.03405430647918616,0.0,0.1282407546180457,0.06412037730902286
gdelt_volume,0.0004910046694219794,0.031018629186038933,0.010611981432952302,0.11680908599522398,0.06371053371408814
gdelt_volume_log,0.00040326567882020825,0.031018629186038933,0.008715696942810765,0.11680908599522398,0.06276239146901737
stress_volume,0.0001604326620512353,0.031018629186038933,0.003467397637849448,0.11680908599522398,0.060138241816536715
fed_rate_regime,0.00026264434731393393,0.029827967934896962,0.005676477456816172,0.1123253271662419,0.05900090231152903
price_vs_ma50,0.0031532251919395016,0.012333944218625869,0.06814999790159135,0.04644682207756015,0.05729840998957575
macd_signal,0.0,0.028827704703229616,0.0,0.10855856387232175,0.05427928193616088
ma_50,0.0023678391947510313,0.015092461464045446,0.05117561427775266,0.05683476914662504,0.05400519171218885
net_imports_change_pct,0.0,0.027744457519112004,0.0,0.10447930193186729,0.052239650965933644
ma_10_20_cross,0.0,0.026361154694481297,0.0,0.09927009885488378,0.04963504942744189
fatalities_7d,0.00406771626418001,0.002545083921431565,0.08791470256446417,0.00958420582871429,0.04874945419658923
net_imports_weekly,0.0,0.02570817860156395,0.0,0.09681113975217986,0.04840556987608993
macd,0.0,0.020760981012710723,0.0,0.0781811214774904,0.0390905607387452
gdelt_tone_spike,0.0,0.020226933118408046,0.0,0.07617001885793148,0.03808500942896574
oil_return_lag1,0.0,0.02005997484448203,0.0,0.0755412920608938,0.0377706460304469
gdelt_vol_momentum,0.0008487187840482413,0.015028789542833793,0.018343181926804338,0.05659499520704551,0.03746908856692492
gdelt_data_imputed,0.0,0.017615363487452792,0.0,0.06633544300433222,0.03316772150216611
momentum_10,0.0,0.014474061661367603,0.0,0.05450601647038048,0.02725300823519024
media_attention_spike,0.0,0.013904869475120585,0.0,0.05236256845943285,0.026181284229716426
bb_upper,0.0,0.013795439680240102,0.0,0.051950480799337694,0.025975240399668847
price_vs_ma20,0.0,0.012249605804968143,0.0,0.046129222838903916,0.023064611419451958
bb_width,0.0,0.011738387453013295,0.0,0.04420409107122711,0.022102045535613554
recession_signal,0.0007547720733067642,0.0072997804672252625,0.016312731277018995,0.027489309060961083,0.021901020168990037
bb_position,0.0,0.01069804492109768,0.0,0.04028639826971171,0.020143199134855856
conflict_intensity_7d,0.0,0.010628190100465234,0.0,0.04002334094046942,0.02001167047023471
momentum_5,0.0,0.01061767762729788,0.0,0.0399837533631183,0.01999187668155915
bb_lower,0.00014057407092860075,0.007495418878275704,0.0030381980529940217,0.028226038716011266,0.015632118384502645
macd_cross,0.0,0.008207944470065084,0.0,0.030909247655579234,0.015454623827789617
ma_10,0.0,0.00782668279689576,0.0,0.02947350311313623,0.014736751556568116
rsi_14,0.0,0.005419941694477518,0.0,0.020410264801910508,0.010205132400955254
ma_20_50_cross,0.0,0.004476046847278906,0.0,0.016855771993231006,0.008427885996615503
cpi_yoy,0.0,0.00446121170365204,0.0,0.016799906224396772,0.008399953112198386
ret_mean_20,0.0,0.0035151939674500613,0.0,0.013237419099699457,0.006618709549849729
oil_return_lag5,0.0,0.002915156690340066,0.0,0.010977815508518582,0.005488907754259291
crude_production_weekly,0.0,0.001994831308846071,0.0,0.0075120799343976995,0.0037560399671988497
crude_inventory_weekly,0.0,0.0009320465950758168,0.0,0.003509874992308441,0.0017549374961542206
