feature,group,abs_rpb,rpb,p,MI,ks_stat,ks_p,sig,cohens_d,abs_d,train_test_ks,train_test_ks_p,signal_score,stability_score,research_score,risk,risk_reason
vix_return_slog1p,Market,0.008169275847139685,-0.008169275847139685,0.7094925181468118,0.011564847923602795,0.021021389845941027,0.9704131315686588,False,-0.016322039348579155,0.016322039348579155,0.044517634142994374,0.17972674629956645,0.26160139258172627,0.9108791208791209,0.4563847110709447,medium,Same-day return feature; safe only for end-of-day T -> T+1 setup.
oil_return_lag1,Market,0.024260586933139587,-0.024260586933139587,0.2685175750388463,0.0,0.039795105166973405,0.36903084478563686,False,-0.04853374840732893,0.04853374840732893,0.04764649375600384,0.12698000905264298,0.2607912716735177,0.9046153846153846,0.45393850555607773,low,Backward-looking or deterministic transformed feature.
day_of_week_cos,Calendar,0.005814483522976807,0.005814483522976807,0.7908926635093106,0.0,0.06308263851502036,0.030042372755009594,True,0.011634818577007431,0.011634818577007431,0.0005763688760806917,1.0,0.21821542670795713,0.9988461538461538,0.4524046448494161,low,Calendar cyclical encoding.
gdelt_goldstein_7d,GDELT,0.051351629291666964,0.051351629291666964,0.019116097658624497,0.0,0.06527213576175758,0.02237968624272965,True,0.10274006792167653,0.10274006792167653,0.3301118430080966,2.5586323935871216e-58,0.49688599288746155,0.33914148351648354,0.44956264007616814,low,Backward-looking or deterministic transformed feature.
gdelt_events_log1p,GDELT,0.034591697191081856,-0.034591697191081856,0.11458704005531914,0.0,0.05106302815503229,0.1266537618052279,False,-0.06921907781348208,0.06921907781348208,0.16549677507890764,8.690613934436917e-15,0.35536028485197474,0.6686881868131869,0.4493586554403384,low,Backward-looking or deterministic transformed feature.
month_cos,Calendar,0.021556447846362993,-0.021556447846362993,0.32554771478938305,0.0,0.042450020639082015,0.29427638214945134,False,-0.04311758771087924,0.04311758771087924,0.046929463428022504,0.1377934161482148,0.2523324454437922,0.9060508241758242,0.44844795906340174,low,Calendar cyclical encoding.
production_change_pct_slog1p,Supply,0.011824006010524368,-0.011824006010524368,0.5897408016941063,0.004567616064051538,0.04832130849009647,0.1685544711334637,False,-0.02367081345757466,0.02367081345757466,0.1610573624262385,5.0276453051256574e-14,0.2711415113661576,0.6775755494505494,0.3930717227914751,low,Backward-looking or deterministic transformed feature.
sp500_return,Market,0.003082844464008097,0.003082844464008097,0.888199555863489,0.0037735394133804334,0.033537815692535854,0.5857020756731537,False,0.006157921224637807,0.006157921224637807,0.03977288321668725,0.2905588364550356,0.16543112867698728,0.9203777472527472,0.39191511424971526,medium,Same-day return feature; safe only for end-of-day T -> T+1 setup.
usd_return,Market,0.0026234765747986987,-0.0026234765747986987,0.9047724777392383,0.0,0.05034181459547861,0.13676468242584397,False,-0.0052378521123706695,0.0052378521123706695,0.03691505420612049,0.37719800113806795,0.16206465032794415,0.9260989010989011,0.3912749255592312,medium,Same-day return feature; safe only for end-of-day T -> T+1 setup.
net_imports_change_pct_slog1p,Supply,0.006560275870539924,0.006560275870539924,0.7648165384778738,0.0,0.060807260524315794,0.04037466193389059,True,0.01313085353683682,0.01313085353683682,0.13019075065184577,2.6300899866278e-09,0.2160642585756541,0.7393681318681318,0.37305542056339736,low,Backward-looking or deterministic transformed feature.
gdelt_tone_lag1,GDELT,0.03562452557570362,0.03562452557570362,0.10415214462030516,0.0,0.05385461405840075,0.09315726975195729,False,0.07129246946787361,0.07129246946787361,0.38372444078495954,3.30061195071289e-79,0.36966478349583154,0.23181318681318674,0.32830930449103807,low,Backward-looking or deterministic transformed feature.
gdelt_tone_7d,GDELT,0.03286871387317462,0.03286871387317462,0.13380388486033395,0.004882940540023029,0.052857289289747776,0.10416436093987301,False,0.06575690321362217,0.06575690321362217,0.44587621792232746,7.12045144566614e-108,0.41428406788502725,0.10739010989010978,0.322215880486552,low,Backward-looking or deterministic transformed feature.
gdelt_tone_30d,GDELT,0.01817762621875736,0.01817762621875736,0.4071065794620013,0.008703861651123468,0.05502554721270814,0.08149332942315289,False,0.03633282747825223,0.03633282747825223,0.4705022643062989,1.2825253801471245e-120,0.3827967775700594,0.05809065934065927,0.2853849421012393,low,Backward-looking or deterministic transformed feature.
vix_lag1_log1p,Market,0.0008145555707306302,-0.0008145555707306302,0.9703693990385835,0.0,0.022623573617804833,0.9450317669080768,False,-0.0016288351890683843,0.0016288351890683843,0.18053725813091806,1.5844603286887587e-17,0.07065855809513959,0.6385782967032967,0.2410344796775867,low,Backward-looking or deterministic transformed feature.
yield_spread,Macro,0.006942646379358324,-0.006942646379358324,0.7515477792209754,0.005718914573822342,0.0441039175470982,0.2534760937169017,False,-0.013870774742735745,0.013870774742735745,0.49951969260326606,1.0558515356683123e-136,0.24473440755227638,0.0,0.17131408528659345,low,No obvious future or publication-timing risk in the feature name.
